expte_code,fecha,gestion,se_giro_a,dependencia_actual
5819,2025-05-19,RESOLUCION 831/25 ADJUDICA A TEKMIK por $243.300.000,-,MESA DE ENTRADAS
5819,2025-02-10,28/12/2025 - Se rectifica presupuesto oficial por la suma de $ 298.294.000 /10/2/2025 LLAMADO A LICITACIÓN RESOLUCIÓN SGA N°26/2025,Subdirección de Contrataciones,"Subdirección de Compras, Aperturas y notificaciones"
5819,,28/12/2025 - Se rectifica presupuesto oficial por la suma de $ 298.294.000 /10/2/2025 LLAMADO A LICITACIÓN RESOLUCIÓN SGA N°26/2025,Subdirección de Contrataciones,"Subdirección de Compras, Aperturas y notificaciones"
7778,2025-02-24,Resolución 92/25 BIO Efia Treatment SA $4.850.622 POR 6 MESES a partir de marzo/2025,Subdirección de Contrataciones,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
7778,,Presta conformidad a la propuesta de BIO Efia Treatment SA $4.850.622 POR 6 MESES a partir de marzo/2025,Subdirección de Contrataciones,"Subdirección de Compras, Aperturas y notificaciones"
7757,2025-02-24,Con resolución n° 73/2025 TEKNIK SRL $21.696.655 / Mensual:$4.339.331) por 5 MESES a partir del 1/3/2025,Subdirección de Contrataciones,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
7757,,Presta conformidad a la propuesta de TEKNIK SRL $21.696.655 / Mensual:$4.339.331) por 5 MESES a partir del 1/3/2025,Subdirección de Contrataciones,Dirección de Asuntos Jurídicos
1533,2025-02-27,(ESC 328/2025 -$14.523.000 OC vigente: N° 639/24 vto 30/04/2025 (Silvina Pujol pide la contiuindad por 4 meses),No está en esta Dirección,Subdirección de Infraestructura
1533,2025-02-24,(ESC preferente despacho 328/2025 -$14.523.000 OC vigente: N° 639/24 vto 30/04/2025,No está en esta Dirección,Subdirección de Infraestructura
1533,,($14.523.000 OC vigente: N° 639/24 vto 30/04/2025,No está en esta Dirección,Subdirección de Infraestructura
4111,2025-03-06,vto 30/04/2025 -Silvina Pujol solicitó la PRÓRROGA (1 MES ),No está en esta Dirección,Subdirección de Infraestructura
4111,2025-02-24,vto 30/04/2025 -ESC 329/25 ESC Preferente despacho,No está en esta Dirección,Subdirección de Infraestructura
4111,,vto 30/04/2025,No está en esta Dirección,Subdirección de Infraestructura
1534,2025-02-25,"$34.800.000. En Infra ""para que ratifiquen o rectifiquen lo realizado por intendencia""",No está en esta Dirección,Subdirección de Infaestructura
4888,2025-02-19,15/08/2024 pase a Indendencia para renovación para licitacion,Subdirección de Infraestructura,Subdirección de Infaestructura
6798,,($6.000.000 1 presupuesto hispomterica Vto. 27/4/24),No está en esta Dirección,Subdirección de Infaestructura
2944,,($4.850.000 -Interadministrativo- pendiente prestar conformidad por Infra (Obra Pública vinculación),No está en esta Dirección,Subdirección de Infaestructura
2411,,Resolución ok al LLAMADO 2667/2024,No está en esta Dirección,SUBDIR. DE ADMIN. - DEPTO. DE CONTABILIDAD Y PRESUPUESTO
5658,2025-03-14,"Nueva fecha de apertura 16/04/2025 - $534.611.197,25",Subdirección de contrataciones,Mesa Dirección
5658,2025-02-25,Esc. 294/2025 - se responde fundamentando que no hay nada por modificar del pliego de bases y condiciones,No está en esta Dirección,Mesa Dirección
5658,2025-02-20,"Esc. 294/2025 - Solicitando se indique si es necesario modificar el PET, proximidad en la fecha de apertura del concurso de etapa múltiple n° 477/2024, marzo 07/03/25 11:00hs.",No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
5658,2025-02-20,"Atento al dictado del Decreto 105/2025 PEN - derogó Ley 22.460 de Consultoría, se evalúa publicar una circular-",No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
5658,,"Resolución ok al LLAMADO 3385/2024 $534.611.197,25",No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
8326,,Desde Infra van a incorporar la solicitud a un nuevo llamado de LP,Subdirección de Infraestructura,Subdirección de Infraestructura
5377,2025-12-23,"Esc 2731/2025 . Mediante Reso 3399/2025 : Designar a la Arquitecta Delfina Apaolaza como Inspector de Obra de los trabajos de “Consolidación y Mantenimiento de fachadas Talcahuano y Tucumán y obras complementarias - Palacio de Justicia de la Nación, Talcahuano 550, C.A.B.A.”; en el marco de lo establecido por el artículo 37º de las Cláusulas Especiales del Pliego de Bases y Condiciones y de acuerdo a lo establecido por el artículo 28º de la ley 13.064.",No está en esta Dirección,INFRAESTRCUTURA
5377,2025-11-26,"Consulta por - ""Repartición""- Competencia para la firma de: curva de inverción, etc. Ver reso.",Subdirección de Compras,Mesa Dirección
5377,2025-09-30,"RESO 2253/2025 - Designar al Arquitecto Federico LOBOS como Supervisor de Obra de los trabajos de Consolidación y Mantenimiento de fachadas Talcahuano y Tucumán y obras complementarias - Palacio de Justicia de la Nación, Talcahuano 550, C.A.B.A.",Subdirección de Compras,Mesa Dirección
5377,2025-08-27,Pendiente justificar la contratación de un Supervisor /Inspector de Obra y elevar con contrato. (Devolvemos último cuerpo a INFRA 1/9/2025),Subdirección de Compras,Mesa Dirección
5377,2025-08-27,Pendiente justificar la contratación de un Supervisor /Inspector de Obra y elevar con contrato.,Subdirección de Compras,Mesa Dirección
5377,2025-08-06,Expediente condiciones de comenzar la circulación con el proyecto de Resolución de Adjudicación- (de igual forma que el 7/7/2025),,
5377,2025-08-06,"Dpto. Jurídico Administrativo, elaboración de respuesta e incorporación del ESC.2469/2025 , a los fines de dar por cumplido lo requerido por la Subdirección de Compras y la Dirección de Asuntos Jurídicos.",Subdirección de Compras,Subdirección de Compras
5377,2025-08-05,"Infraestructura recibe el ESC.2469/2025 con la respuesta formulada por el oferente, respecto al nuevorebalanceo solicitado.",Infraestructura CSJN,Infraestructura CSJN
5377,2025-08-04,"El Subdirector exigió le informe si habían recidio la respuesta de ""CONSUPER S.A"" dado el periodo de tiempo transcurrido a la Mesa Administrativa.",Mesa administrativa,Mesa administrativa
5377,2025-07-30,ESC 2469/2025 CONSULPER S.A. S/DOCUMENTACION - OBRA PUBLICA N° 430/2024- Se caratula el escrito con la respuesta cursada de la oferente Consulper S.A-,Mesa administrativa,Mesa administrativa
5377,2025-07-18,"En base al dictámen solicitan a Infraestructura que previo a la suscripción del acto de adjudicación, corresponde la incorporación d ela resupuesta de la firma y verificación por el área técnica, en los términos del art 3 CE.",Infraestrcutura CSJN,Infraestrcutura CSJN
5377,2025-07-18,"Dictámen Jurídico: entienden que previo a la suscripción del acto de adjudicación, corresponde la incorporación d ela resupuesta de la firma y verificación por el área técnica, en los términos del art 3 CE. Habiendo sido verificados los aspectos técnicos y económicos que hacen a la contratación por la Comisión de Preadjudicaciones, se devuelven los actuados a la Dirección de Administración SIN OBSERVACIONES DE ORDEN JURÍDICO PARA FORMULAR AL PROYECTO DE RESOLUCIÓN.",Subdirección de Compras,Subdirección de Compras
5377,2025-07-15,"Acompañan proyecto de resolución de Adjudicación a fs 2985/2989, además efectuaron una consulta la la ONC a fin de verificar la exigencia de incorporación de la obra al listado de antecedentes en proceso de adjudicación ane el Registro de Constructores de Obra pública, previo a la firma del acto de adjudicación. La respuesta de la ONC fue negativa en ese sentido.",Dir. Asuntos Jurídicos,Dir. Asuntos Jurídicos
5377,2025-07-11,"Se elabora respuesta . En forma resumida: En el marco de la Licitación Pública Nº 430/24 para obras en el Palacio de Justicia, y conforme a los arts. 3 y 22 de las Cláusulas Especiales (C.E.) y la Ley 13.064, se adjudica la contratación a la oferta N°1 de “CONSULPER S.A.”. La Comisión de Preadjudicaciones, mediante Dictamen N°169/25, validó la oferta y solicitó rebalanceo de precios, aceptado por la firma sin modificar el monto total. No se requiere suspender el proceso, pero se exige la presentación del nuevo rebalanceo antes de firmar el contrato. Se garantiza así la razonabilidad económica y la continuidad del procedimiento; se acompaña la solicitud de nuevo rebalanceo requerida al oferente.",Subdirección de Compras,Subdirección de Compras
5377,2025-07-11,"Se gira el expediente con observaciones y correo cursado al Oferente para elaborar respuesta "" se expida sobre la solicitud de un nuevo rebalanceo en consonancia con el artículo CE (3)""",Dpto. Jurídico Administrativo,Dpto. Jurídico Administrativo
5377,2025-07-08,Recibe el expediente Infraestructura para que se expida sobre la solicitud de un nuevo rebalanceo en consonancia con el artículo CE (3),Infraestrcutura CSJN,Infraestrcutura CSJN
5377,2025-07-07,Pase a la mesa de la Dirección para que se expida sobre la solicitud de un nuevo rebalanceo en consonancia con el artículo CE (3),Mesa administrativa,Mesa administrativa
5377,2025-07-07,El expediente se encontraba en condiciones de girar a la Dirección de Asuntos Jurídicos con Proyecto de Resolución de Adjudicación.,,
5377,2025-07-04,"Respecto del Vto. de la oferta, los 60 días hábiles judiciales según art. 20 .C.E se cumplieron el 4/7/2025,estableciendose en el mismo que quedará prorrogado de pleno derecho hasta el momento de la adjudicación, a menos que los oferenes se retracten por escrito.",,
5377,2025-03-14,Nueva fecha de apertura por falta de firma a la modificación presupuestaria ($1.570.447.390) 4/4/2025,Sub. de Contrataciones,Subdirección de Contrataciones
5377,2025-02-25,Esc. 293/25 se responde fundamentando que no hay nada por modificar del pliego de bases y condiciones,Sub. de Contrataciones,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
5377,2025-02-20,"Esc. 293/25 Solicitan se informe si es necesario modificar PET, fecha de apertura LP 430/24 28/2/2025.",No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
5377,2024-11-28,"RESOLUCIÓN : LLAMADO ""LICITACIÓN N° 430/2024 "" 3168/2024 $1.570.447.390,00",No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
5225,2025-03-14,"Nueva fecha de apertura 10/04/2025 ($421.517.454) , por falta de firma en partida presupuestaria.",Subdirección de contrataciones,MESA DIRECCIÓN
5225,2025-02-25,Esc. 290/25 - se responde fundamentando que no hay nada por modificar del pliego de bases y condiciones,Subdirección de contrataciones,MESA DIRECCIÓN
5225,2025-02-20,Esc. 290/25 - Solicita se informe si correponde modificar PET - LP N° 448/2024 fecha de apertura 17/03/2025 -11:00hs.,No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
5225,,RESOLUCION OK AL LLAMADO 3396/2024 $421.517.454,No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
7552,2025-09-30,"RESO 2252/2025 - Designar al Arquitecto Federico LOBOS como Supervisor de Obra de los trabajos de Restauración de fachadas de patios interiores 3 y 4 y obras complementarias del Palacio de Justicia (Etapa VI), Talcahuano 550, C.A.B.A.-",Subdirección de Contrataciones,Mesa dirección
7552,2025-03-14,Nueva fecha de apertura $874.616.112 - 14/4,Subdirección de Contrataciones,Mesa dirección
7552,2025-02-25,Esc. 291/2025 Se remite con respuesta en el sentido que no es necesaria la modificación del pliego,No está en esta Dirección,Mesa dirección
7552,1970-01-01,"Esc. 291/2025 Se informa si requiere modificación el PET ,decreto 105/25 PEN. Lic n° 447/2024, fecha de apertura el: 19/03/2025 a las 11:00hs.",No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
7552,,RESOLUCIÓN OK AL LLAMADO 7552/2023 $874.616.112,No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
4994,2025-03-25,RESOLUCIÓN 305/2025 Adjudicación ASCENSORES LA PLATA SRL $371.899.800 ($27.140.000) los primeros 6 meses y $34.843.300 los restantes 6 meses),No está en esta Dirección,SUBDIR. DE ADMIN. - DEPTO. DE CONTABILIDAD Y PRESUPUESTO
4994,,RESOLUCIÓN 2572/2024 (llamado a licitación) Lic- n° 349,No está en esta Dirección,Vocalía Dr. ROSENKRANTZ
4994,2025-02-13,P.O $349.442.400 - Lic n° 349,No está en esta Dirección,Vocalía Dr. ROSENKRANTZ
264,2025-05-13,"RESOLUCIÓN 3167/2024 y 709/2025 ( Lic- n° 349 (18) meses, y adjudicar a la oferta n°3 - “ANDAMIOS NESTRADUÑOL S.R.L.$386.290.000)",No está en esta Dirección,SUBDIR. DE COMPRAS- GESTION DE PByC
264,2025-03-25,"RESOLUCIÓN 3167/2024 (llamado a licitación) Lic- n° 349 $366.682.536,10",No está en esta Dirección,Dirección de Asuntos Jurídicos
264,2025-03-06,"RESOLUCIÓN 3167/2024 (llamado a licitación) Lic- n° 349 $366.682.536,10",No está en esta Dirección,Subdirección de Compras CSJN
264,2025-02-12,"RESOLUCIÓN 3167/2024 (llamado a licitación) Lic- n° 349 $366.682.536,10",No está en esta Dirección,COMISION DE PREADJUDICACIONES DEL CM
264,2024-10-15,Explicación 18 meses (9 meses/9 meses+50%inflación) Memorando(15/10/2024),,
3662,2025-05-20,Resolución 837/25 Adjudica a Teknik por la suma de $ 611.497.000,-,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
3662,2024-12-27,"Resolución ok al llamado 3689/2024 $ 681.892.001,00)",No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
3662,,"Resolución ok al llamado 3689/2024 $ 681.892.001,00)",No está en esta Dirección,SUBDIR. DE COMPRAS- APERTURAS Y NOTIFICACIONES
SN,2025-02-24,No se tramitará por PE- será a través de Tesorería de la Dirección - Avisé a Eugenia vía telefónica,Correo electrónico,Correo electrónico Eugenia Firvida
SN,2025-02-21,No se tramitará por PE- será a través de Tesorería de la Dirección,Correo electrónico,Correo electrónico Eugenia Firvida
SN,2025-02-20,Corrección de nota de elevación / presupuestos / Eugenia Firvida,Correo electrónico,Correo electrónico Eugenia Firvida
948,2025-02-21,Se modificó nota de elevación / se prestó conformidad ($18.500.000),Dirección de Administración CSJN,Dirección de la Administración
948,2025-02-21,Solicitud n°15491,A Caratular,A Caratular
5077,2025-03-26,"Caratulado como 1604/2025 - VINCULADO AL 5077/2024 $43.615.240,15 -Nación 1 año 1/5/2025-",Dirección de Administración,En esta Dirección
5077,2025-03-25,Solicitamos se mande a caratular el expediente digital - VINCULADO AL 5077/2024,En esta Dirección,En esta Dirección
5077,2025-03-05,Pendiente respuesta de Infraestructura a Peritos Tasadores / info edificios.,Tasadores,Centro de Asistencia Judicial (Tasadores)
5077,2025-02-26,Pendiente respuesta de Infraestructura a Peritos Tasadores / info edificios.,Tasadores,Subdirección de Infraestructura
5077,2025-02-11,En peritos tasadores para que actualicen la planilla de edificios,Tasadores,Tasadores
1031,2025-02-26,VER (recibimos el expte.) Vto. junio/2025,En esta Dirección,En esta Dirección
SN,2025-02-27,Nota OK- Constancia de rendición en expediente 930/2025 - Liq 4243/2024,Correo electrónico a Guillermina Sanchez,Correo electrónico Guille Sanchez
SN,2025-02-26,Revisar,Correo electrónico Guille Sanchez,Correo electrónico Guille Sanchez
SN,2025-02-28,Ver presupuestos -,Correo electrónico con Guillermina Sanchez,Correo electrónico con Guillermina Sanchez
989,2025-12-29,En fecha 29/12/2025 se envía el PET y planilla de cotización en formato WORD- según lo solicitado por Guadalupe Cuello -,correo electrónico,Compras
989,2025-12-17,Se eleva a compras con sugerencia de contratación - Licitación,Compras,Compras
989,2025-05-23,Modificamos el PET- Se enví a Compras para su revisión,Correo electrónico,Correo electrónico Patricia Torres (Compras)
989,2025-02-28,Ver (Actualmente amparado OC 531 Y 532 GRUPO EFIA SRL(EX EMPRESA FUMIGADORA ITALO ARGENTINA S.R.L.) 24 MESES Vto. (exoediente 524/2022),En esta Dirección,En esta Dirección
989,2025-02-28,Ver (Actualmente amparado OC 531 Y 532 GRUPO EFIA SRL(EX EMPRESA FUMIGADORA ITALO ARGENTINA S.R.L.) 24 MESES Vto. (expediente 524/2022),En esta Dirección,En esta Dirección
989,2025-02-28,Ver,En esta Dirección,En esta Dirección
7238,2025-03-20,"Se redactó la nota de elevación con dos presupuestos de Finning ($ $ 48.992.931) y Tecnimotors ($ 62.827.774,55)",Dirección de Administración,
7238,2025-03-06,Se van a requerir que los proveedores completen la documental - FIJAR NUEVA FECHA DE MANTENIMIENTO DE OFERTAS -,Subdirección de Infraestructura,
7238,,Control de documentación,Subdirección de Infraestructura,
1394,2025-04-24,"Resolucion 566/2025 Codyar 13.866.348,75",No está en esta Dirección,Subdirección de Infraestructura
1394,2025-04-07,Control de documental ; ofertas; nota de elevación en proceso.,No está en esta Dirección,Subdirección de Infraestructura
1394,2025-03-13,Control de PET - Finalizado,Correo electrónico Federico Lobos,Correo electrónico Federico Lobos
1394,2025-03-06,Control de PET,Correo electrónico Federico Lobos,Correo electrónico Federico Lobos
1893,2025-04-23,Con Reso 557/2025 “JM SERVICIOS LOGISTICOS S.R.L.” por la suma total de $16.228.000,No está en esta Dirección,Subdirección de Infraestrucutra CSJN
1893,2025-04-10,Nota de elevación y presupuestos acompañados JM SERVICIOS $16.228.000,No está en esta Dirección,Subdirección de Infraestrucutra CSJN
1893,2025-04-07,Control de documental (3 ofertas) en elaboración,No está en esta Dirección,Subdirección de Infraestrucutra CSJN
1893,2025-03-13,Control de PET - Finalizado,Correo electrónico Federico Lobos,Correo electrónico Federico Lobos
1893,2025-03-06,Control de PET,Correo electrónico Federico Lobos,Correo electrónico Federico Lobos
2131,2025-05-05,resolución 619/25,-,MESA DE ENTRADAS AMINISTRATIVA - CSJN
2131,2025-04-16,Nota de elevación revisada (no subimos la habilidad ),En Infraestructura,Subdireccion de Infraestructura
2131,2025-04-15,"Control de documental de ofertas (3) Proparq, Coloret, JM. Pendiente armado del expte. y nota.",Correo electrónico Federico Lobos,Correo electrónico Federico Lobos
2131,2025-03-06,Control de PET,Correo electrónico Federico Lobos,Correo electrónico Federico Lobos
8054,,Ya tiene resolución,No está en esta Dirección,No está en esta Dirección
1111,2025-03-11,Solicitud que va a contemplar la Subdirección de Infraestructura - equipo de aire acondicionado -Cuerpo de Peritos Tasadores,Subdirección de Infeaestructura,Subdirección de Infraestructura
1111,2025-03-01,Ver -pedido de equipo de aire acondicionado -Cuerpo de Peritos Tasadores,En esta Dirección,En esta Dirección
1111,,Ver,En esta Dirección,En esta Dirección
14322025,1970-01-01,RESOLUCIÓN 288/2025 Coloret: $2.737.583,Correo electrónico Victoria Riobo,No está en esta Dirección
14322025,,Pedido de partida especial (1 presupuesto - Coloret: $2.737.583,Correo electrónico Victoria Riobo,Correo electrónico Victoria Riobo
1296,2025-03-19,Se presta conformidad a la solicitud de partida especial,Dirección de administración,DIRECCION DE ADMINISTRACION DE LA CSJN
1296,2025-03-11,Se presta conformidad a la solicitud de partida especial,Dirección de administración,Mesa de entradas Aco 15/23
1295,2025-03-19,"Con resolución n° 263/2025 19-03-2025 , 9.110.900)",Dirección de administración,DIRECCION DE DESPACHO - DIRECTOR GENERAL - CPN JOSE C. ABRANCHI
1295,2025-03-11,Se presta conformidad a la solicitud de partida especial,Dirección de administración,Mesa de entradas Aco 15/23
812,2025-03-20,Con resolución 265/2025,En esta Dirección,En esta Dirección
812,2025-03-12,Presta conformidad a la continuidad del trámite,En esta Dirección,En esta Dirección
904,2025-03-19,"Con resolución 240/2025 - “ACLIMA DE ESCOFE VICTOR DANIEL"" ($1.200.000 mensual y un total de pesos $6.000.000 seis millones) 5 meses a partir del vto. oc actual N° 76/24 )",Subdirección de la Administración,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
904,2025-03-12,Presta conformidad a la continuidad del trámite,Subdirección de la Administración,En esta Dirección
1340,2025-03-18,Se Solicita partida especial por $ 14.500.000,Subdirección de la Administración,Dirección de la Administración
1340,2025-03-13,Presta conformidad a la continuidad del trámite,Subdirección de la Administración,Dirección de la Administración
1340,2025-03-12,Presta conformidad a la continuidad del trámite,Subdirección de la Administración,En esta Dirección
888,2025-03-19,"Resolución 239/2025: “ALBERTO FORTUNATO"" - total de ($ 1.026.000.) S.R.L $256.500 mensual / abril a julio 2025.",Subdirección de la Administración,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
888,2025-03-12,Presta conformidad a la continuidad del trámite $256.500 mensual / abril a julio 2025. $1.026.000,Subdirección de la Administración,En esta Dirección
1257,2025-03-17,Se presta conformidad a la continuidad por ser tecnicamente adminisble y economicamente conveniente,Dirección de Administración,Dirección de Gestión
1417,2025-04-08,Tiene resolución 391/2025. Se presta conformidad a la continuidad del trámite $2.691.200 Flory Service. (Contratación directa),Dirección de Administración,Dirección de Administración
1417,2025-04-01,Se presta conformidad a la continuidad del trámite $2.691.200 Flory Service. (Contratación directa),Dirección de Administración,Dirección de Administración
1417,2025-03-17,Se presta conformidad a la continuidad del trámite $2.691.200 Flory Service.,Dirección de Administración,Dirección de Administración
1417,,Se presta conformidad a la continuidad del trámite.,Dirección de Administración,Dirección de Administración
1432,2025-03-17,Se presta conformidad a la continuidad del trámite. Coloret $2.737.583,Dirección de Administración,Dirección de Administración
889,2025-03-25,Resolución 317/2025 - grupo de emergencia de la Morgue - por el término de 4 meses- Fernandez Rimbau Maria Eugenia . por la suma de $ 330.600 mensual / y total de $1.322.400 ).,Dirección de Administración,MESA DE ENTRADAS ADMINISTRATIVA - CSJN
889,2025-03-19,Se presta conformidad a la continuidad del trámite con la prestataria Fernandez R. por la suma de $ 330.600,Dirección de Administración,DGIeI
460,2025-03-20,Se aclara - no contempla UTE / Consorcios,Subdirección de Contrataciones,DGIeI
1257,2025-03-17,Presta conformidad - continuidad $12.608.200 (2 meses),No esta en esta Dirección,Contabilidad
1257,,FERNANDEZ Y RIMBAU MARIA EUGENIA”,,
