expte_code,anio,edificio,caratula,fecha_ingreso,ultima_gestion,se_giro_a,tipo_tramite,fecha,etiqueta,resolucion,dependencia_actual
264,2024,PALACIO - TALCAHUANO 550,"SERVICIO DE ALQUILER DE LAS PROTECCIONES EN FACHADAS EXTERNAS DEL PALACIO DE JUSTICIA, TALCAHUANO 550, CABA DEL PALACIO DE JUSTIACIA DE LA NACION - LICITACION PUBLICA N° 180/2023 ( EXPEDIENTE N° 7168/2022 ) FRACASADA",2024-09-13,"RESOLUCIÓN 3167/2024 y 709/2025 ( Lic- n° 349 (18) meses, y adjudicar a la oferta n°3 - “ANDAMIOS NESTRADUÑOL S.R.L.$386.290.000)",No está en esta Dirección,LP,2025-05-13,FINALIZÓ PARA ESTE DIRECCIÓN,SI,SUBDIR. DE COMPRAS- GESTION DE PByC
3662,2024,PALACIO - TALCAHUANO 550,RENOVACION DEL SERVICIO DE CERTIFICACION REPARACIONES MANTENIMIENTO PREVIO PUESTA EN MARCHA Y CONSERVACION DEL SISTEMA DE CALEFACCION CENTRAL DEL PALACIO DE JUSTICIA SITO EN TALCAHUANO 550 DE LA CABA - OC N° 194/24,2025-05-20,Resolución 837/25 Adjudica a Teknik por la suma de $ 611.497.000,-,LP,2025-05-20,FINALIZÓ PARA ESTE DIRECCIÓN,837/25,Mesa de Entradas Administrativa
SN,2025,PALACIO - TALCAHUANO 550,Partida especial: alquiler de volquetes,2025-02-20,No se tramitará por PE- será a través de Tesorería de la Dirección - Avisé a Eugenia vía telefónica,Correo electrónico,OTROS,2025-02-24,EN TRÁMITE PARA ESTA DIRECCIÓN,NO,Correo electrónico Eugenia Firvida
948,2025,PALACIO - TALCAHUANO 550,Partida especial Pulido 4° piso,2025-02-21,Se modificó nota de elevación / se prestó conformidad ($18.500.000),Dirección de Administración CSJN,,2025-02-21,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Dirección de la Administración
5077,2024,PALACIO - TALCAHUANO 550,"""Renovación de los seguros generales para distintos edificios dependientes de la CSJN - OC N°100 A 104/2024""",2025-09-06,"Caratulado como 1604/2025 - VINCULADO AL 5077/2024 $43.615.240,15 -Nación 1 año 1/5/2025-",Dirección de Administración,,2025-03-26,FINALIZÓ PARA ESTE DIRECCIÓN,NO,En esta Dirección
1031,2025,CUERPO MÉDICO FORENSE/OFICINA DE LA MUJER - LAVALLE 1429,"RENOV. DEL SERVICIO DE MANTENIMIENTO INTEGRAL ,PREVENTIVO Y CORRECTIVO DE LOS EQUIPOS ACONDICIONADORES DE AIRE INSTALADOS EN EL EDIFICIO DEL CUERPO MEDICO FORENSE SITO EN LAVALLE 1429 DE LA CIUDAD",2025-02-26,VER (recibimos el expte.) Vto. junio/2025,En esta Dirección,,2025-02-26,PENDIENTE RESOLVER,NO,En esta Dirección
SN,2025,PALACIO - TALCAHUANO 550,Llaves y mangueras de ajuste-,2025-02-26,Nota ok-Constancia de rendición en expediente 930/2025 - Liq 4243/2024 (Guillermina Sanchez),Correo electrónico a Guillermina Sanchez,,2025-02-27,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Correo electrónico Guille Sanchez
SN,2025,NOTI.Y SUBASTAS-JEAN JEAURES 545,Arreglo de puerta Jean Jeaure 545,2025-02-28,Ver presupuestos -,Correo electrónico con Guillermina Sanchez,,,EN TRÁMITE PARA ESTA DIRECCIÓN,no,Correo electrónico con Guillermina Sanchez
989,2025,OTROS EDIFICIOS,“Renovación del servicio de desratización desinsectación y desinfección con destino al Palacio de Justicia de la Nación sito en calle Talcahuano 550 de la CABA OC Nn° 531 a 532/2023”,2025-02-28,En fecha 29/12/2025 se envía el PET y planilla de cotización en formato WORD- según lo solicitado por Guadalupe Cuello -,correo electrónico,,2025-12-29,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Compras
7238,2024,PALACIO - TALCAHUANO 550,REPARACIÓN DEL GRUPO ELECTRÓGENO CATERPILLAR C32 DEL PALACIO DE JUSTICIA,2025-02-28,"Se redactó la nota de elevación con dos presupuestos de Finning ($ $ 48.992.931) y Tecnimotors ($ 62.827.774,55)",Dirección de Administración,,2025-03-20,EN TRÁMITE PARA ESTA DIRECCIÓN,NO,Subdirección de Infraestructura
1394,2025,PALACIO - TALCAHUANO 550,“Proceso: PINTURA DE ESPACIOS DE CIRCULACION DEL TERCER PISO DEL PALACIO DE JUSTICIA Y TAREAS COMPLEMENTARIAS”,2025-03-06,"Resolucion 566/2025 Codyar 13.866.348,75",No está en esta Dirección,,2025-04-24,FINALIZÓ PARA ESTE DIRECCIÓN,SI,Subdirección de Infraestructura
1893,2025,PALACIO - TALCAHUANO 550,"“Proceso: INSTALACIÓN DE CABLEADO ELÉCTRICO, COLOCACIÓN DE ARTEFACTOS DE ILUMINACIÓN EXISTENTES Y NUEVOS, INCLUYENDO MATERIALES Y MANO DE OBRA ESPECIALIZADA EN ESPACIOS COMUNES DEL PALACIO DE JUSTICIA",2025-03-06,Con Reso 557/2025 “JM SERVICIOS LOGISTICOS S.R.L.” por la suma total de $16.228.000,No está en esta Dirección,,2025-04-23,FINALIZÓ PARA ESTE DIRECCIÓN,SI,Subdirección de Infraestrucutra CSJN
2131,2025,PALACIO - TALCAHUANO 550,"“Proceso: RETIRO DE PARTES FLOJAS Y TRATAMIENTO DE HIERROS EXPUESTOS EN DINTELES DE VENTANAS DEL EDIFICIO UBICADO EN VILLARINO 2010, CABA, Y TRABAJOS COMPLEMENTARIOS",2025-03-06,resolución 619/25,En Infraestructura,,2025-05-05,FINALIZÓ PARA ESTE DIRECCIÓN,619/25,MESA DE ENTRADAS AMINISTRATIVA - CSJN
8054,2024,PALACIO - TALCAHUANO 550,"""ALQUILER DE GRUPO ELECTROGENO PARA EL PALACIO DE JUSTICIA DE LA NACIÓN""",2024-12-27,Ya tiene resolución,No está en esta Dirección,,,FINALIZÓ PARA ESTE DIRECCIÓN,SI 3706/2024,No está en esta Dirección
1111,2025,CUERPO DE PERITOS - BARTOLOMÉ MITRE 718/20,AIRE ACONDICIONADO PARA EL CUERPO DE PERITOS TASADORES DE LA JUSTICIA NACIONAL,2025-03-10,Solicitud que va a contemplar la Subdirección de Infraestructura - equipo de aire acondicionado -Cuerpo de Peritos Tasadores,Subdirección de Infeaestructura,,2025-03-11,FINALIZÓ PARA ESTE DIRECCIÓN,NO,Subdirección de Infraestructura
14322025,2025,OVD - LAVALLE 1250,S/N Baño OVD,2025-03-10,RESOLUCIÓN 288/2025 Coloret: $2.737.583,Correo electrónico Victoria Riobo,,2025-03-21,FINALIZÓ PARA ESTE DIRECCIÓN,SI,No está en esta Dirección
1296,2025,PALACIO - TALCAHUANO 550,"Pulido e hidrolaqueado 4042, 4043 y 4044",2025-03-11,Se presta conformidad a la solicitud de partida especial,Dirección de administración,,2025-03-19,EN TRÁMITE PARA ESTA DIRECCIÓN,no,DIRECCION DE ADMINISTRACION DE LA CSJN
1295,2025,PALACIO - TALCAHUANO 550,"Pulido e hidrolaqueado 4008, 4010, 4019 y 4020",2025-03-11,"Con resolución n° 263/2025 19-03-2025 , 9.110.900)",Dirección de administración,,2025-03-19,FINALIZÓ PARA ESTE DIRECCIÓN,SI,DIRECCION DE DESPACHO - DIRECTOR GENERAL - CPN JOSE C. ABRANCHI
812,2025,DaJuDeCO,ADQUISICION DE MOTORES DE VENTILACIÓN PARA AIRE ACONDICIONADO INSTALADO EN EL EDIFICIO DE LA DIRECCIÓN DE ASISTENCIA JUDICIAL EN DELITOS COMPLEJOS Y CRIMEN ORGANIZADO DEL PODER JUDICIAL DE LA NACIÓN,2025-03-12,Con resolución 265/2025,En esta Dirección,,2025-03-20,FINALIZÓ PARA ESTE DIRECCIÓN,SI,En esta Dirección
904,2025,OTROS EDIFICIOS,CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECTIVO DE LAS ELECTROBOMBAS INSTALADAS EN VARIOS EDIFICIOS DEPENDIENTES DE LA CSJN - OC N° 76/2024,2025-03-12,"Con resolución 240/2025 - “ACLIMA DE ESCOFE VICTOR DANIEL"" ($1.200.000 mensual y un total de pesos $6.000.000 seis millones) 5 meses a partir del vto. oc actual N° 76/24 )",Subdirección de la Administración,,2025-03-19,FINALIZÓ PARA ESTE DIRECCIÓN,SI,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
1340,2025,PALACIO - TALCAHUANO 550,"TRABAJOS DE PINTURA EN OFICINA 4008, 4010 Y 4020",2025-03-12,Se Solicita partida especial por $ 14.500.000,Subdirección de la Administración,,2025-03-18,FINALIZÓ PARA ESTE DIRECCIÓN,221/2025,Dirección de la Administración
888,2025,NOTI.Y SUBASTAS-JEAN JEAURES 545,CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO PREVENTIVO DE LA INSTALACION FIJA CONTRA INCENDIOS UBICADA EN EL EDIFICIO SITO EN LA CALLE JEAN JUARES 545 Y AV. CORREINTES 3099 DE LA CIUDAD AUTONOMA DE BUENOS AIRES - OC N° 695/202,2025-03-12,"Resolución 239/2025: “ALBERTO FORTUNATO"" - total de ($ 1.026.000.) S.R.L $256.500 mensual / abril a julio 2025.",Subdirección de la Administración,,2025-03-19,FINALIZÓ PARA ESTE DIRECCIÓN,SI,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
1257,2025,PALACIO - TALCAHUANO 550,Continuidad alquiler grupo electrógeno,2025-03-17,Se presta conformidad a la continuidad por ser tecnicamente adminisble y economicamente conveniente,Dirección de Administración,,,FINALIZÓ PARA ESTE DIRECCIÓN,no,Dirección de Gestión
1417,2025,OTROS EDIFICIOS,PARTIDA ESPECIAL INSTITUTO GRIERSON -,2025-03-17,Tiene resolución 391/2025. Se presta conformidad a la continuidad del trámite $2.691.200 Flory Service. (Contratación directa),Dirección de Administración,,2025-04-08,FINALIZÓ PARA ESTE DIRECCIÓN,391/2025,Dirección de Administración
1432,2025,OVD - LAVALLE 1250,PARTIDA ESPECIAL P/TRABAJOS DE REPARACION DE BAÑOS DE USO PUBLICO UBICADO EN LA PLANTA BAJA DE LA OFICINA DE VIOLENCIA DOMESTICA LAVALLE 1250,2025-03-17,Se presta conformidad a la continuidad del trámite. Coloret $2.737.583,Dirección de Administración,,,FINALIZÓ PARA ESTE DIRECCIÓN,288/2025,Dirección de Administración
889,2025,MORGUE -JUNIN 760,COTINUIDAD MANTENIMIENTO GRUPO ELECTROGENO MORGUE JUDICIAL,2025-02-18,Resolución 317/2025 - grupo de emergencia de la Morgue - por el término de 4 meses- Fernandez Rimbau Maria Eugenia . por la suma de $ 330.600 mensual / y total de $1.322.400 ).,Dirección de Administración,,2025-03-25,FINALIZÓ PARA ESTE DIRECCIÓN,SI,MESA DE ENTRADAS ADMINISTRATIVA - CSJN
460,2025,MORGUE -JUNIN 760,ESC. - CONTRATACION DEL ANTEPROYECTO INTEGRAL Y PLIEGOS DE OBRA PUBLICA PARA LA READECUACION Y REFUNCIONALIZACION INTEGRAL DE LA MORGUE JUDICIAL SITA EN LAS CALLES JUNIN 760 Y VIAMONTE 2151 – C.A.B.A.,2025-02-20,Se aclara - no contempla UTE / Consorcios,Subdirección de Contrataciones,,2025-03-20,FINALIZÓ PARA ESTE DIRECCIÓN,no,DGIeI
1257,2025,PALACIO - TALCAHUANO 550,CONTINUIDAD DEL SERVICIO DE ALQUILER DE GRUPO ELECTROGENO PARA EL PALACIO DE JUSTICIA DE LA NACIÓN,2025-03-17,Presta conformidad - continuidad $12.608.200 (2 meses),No esta en esta Dirección,,,FINALIZÓ PARA ESTE DIRECCIÓN,293/2025,Contabilidad
1507,2025,PALACIO - TALCAHUANO 550,CONTINUIDAD DEL SERVICIO DE MANTENIMIENTO INTEGRAL PREVENTIVO Y CORRECIVO DE LOS ASCENSORES 1 A 12 Y LOS DENOMINADOS A Y B INSTALADOS EN EL EDIFICIO SEDE DE LA CSJN DE LA CABA - OC N° 693/2024,2025-03-25,"Con RESO 324/2025 .Presta conformidad a la continuidad- idéntico proveedor Ascensores La Plata S.R.L., 1 mes $16.892.460",Subdirección de Contrataciones,,2025-03-27,FINALIZÓ PARA ESTE DIRECCIÓN,SI,"SUBDIR. DE COMPRAS- OBR. PUBL, DAJuDeCyCO y EXPTES VS"
1525,2025,PALACIO - TALCAHUANO 550,SERVICIO DE ASESORAMIENTO PARA LA FUTURA CERTIFICACIÓN COMO ÁREA CARDIOPROTEGIDA DEL PALACIO DE JUSTICIA DE LA NACIÓN,2025-03-25,Con reso 325/2025 Se presta conformidad a la solicitud de partida especial por la suma de $ 2.800.000,,,2025-03-27,PENDIENTE RESOLVER,SI,SUBDIR. DE ADMIN. - DEPTO. DE LIQUIDACIONES
1604,2025,PALACIO - TALCAHUANO 550,RENOVACION DE LOS SEGUROS GENERALES PARA DISTINTOS EDIFICIOS DEPENDIENTES DE LA CSJN - ORDENES DE COMPRA N° 100 A 104/2024,2025-03-25,"Reso 601/2025: “NACION SEGUROS S.A.” los seguros generales para distintos edificios dependientes de la Corte Suprema de Justicia de la Nación por el término de doce (12) meses, al vto OC n° 100/24, 101/24, 102/24, 103/24 y 104/24, y hasta el 1/5/2026, por ($ 39.048.345,92.-)",En esta Dirección,,2025-04-28,FINALIZÓ PARA ESTE DIRECCIÓN,SI,SUBDIRECCIÓN DE CONTRATACIONES CSJN
1526,2025,OTROS EDIFICIOS,SERVICIO DE INTERNET Y TELEFONIA PARA SUBDIRECCIÓN DE SEGURIDAD,2025-03-26,"Con reso 342/2025 .Se presta conformidad a la partida especial por la suma de $ 729.469,07",Dirección de Administración,,2025-03-28,FINALIZÓ PARA ESTE DIRECCIÓN,no,Dirección de Gestión
2372,2025,PALACIO - TALCAHUANO 550,"ANÁLISIS DE COMPOSICIÓN, GRANULOMETRÍA Y CARACTERÍSTICAS CUALITATIVAS Y CUANTITATIVAS DE MUESTRAS DE SOLADO GRANÍTICO",2025-05-07,"Tiene Reso 959/2025 Muestras:“INSTITUTO NACIONAL DE TECNOLOGÍA INDUSTRIAL CENTROS DE INVESTIGACIÓN”, por la suma total $3.900.480",Dirección de Administración,,2025-05-23,FINALIZÓ PARA ESTE DIRECCIÓN,SI,Dirección de despacho
1770,2025,PALACIO - TALCAHUANO 550,ZABATTA JOSE EDUARDO S/BONIFICACION POR ANTIGÜEDAD EN TITULO - LICENCIADO EN HIGIENE Y SEGURIDAD EN EL TRABAJO,2025-03-31,"Solicitud de inicio - vuelve el expte. requieren se indique donde surge la exigibilidad del ""título"":",En esta Dirección,,,PENDIENTE RESOLVER,no,En esta Dirección
